id,content,location,service,price,environment,dish
2,攻略了一堆大连美食，还是选择了正黄旗，看看究竟多火?果然名不虚传，门口一堆辽B豪车，看来也是本地人的首选，人要了四个菜，海胆一只，海肠水饺一份，酱拌鲍螺一份，烤鸟贝烤牛舌两串～花了260多～海肠水饺味道很棒，但是119价格是贵了点，牛舌好吃，海胆比较鸡肋，感觉味道一般，俩人光盘啦，也算没白来一趟大连呀～,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
5,"图片没有全部上传，最多只能九张，买单为了凑数后来又加了一个饮料8元，别提了就是上当受骗，太贵了，随便去个小店海肠68一斤遍地都是，他家199只是一份肯定不足一斤了，海肠饺子119元一份，同样的海胆69元一个别家小店15元
一个，相似度百分之90以上，基本一样，因本人只是肉眼观测从不说满话，绝对的坑，和老婆花了900元，在美团拍了九张卷等于是花了800元，没有龙虾，没有喝酒，具体不爱详细说了，后来逛街才知道，被坑的很惨，花钱不怕但是一定要值得，切记正黄旗绝对宰人，不懂为什么人多去吃的原因，环境也一般，实在是大连最傻的体验",Not Mentioned,Not Mentioned,Negative,Neutral,Not Mentioned
6,价格贵，不过也有价格中等的！关键口味太咸，味道感觉一般吧！大连的海鲜普遍比一线城市上海贵一倍，上海小青龙178一斤，贵的时候也才198，大连起步价格398，价格真心太贵！可能旅游城市，都是物价超级贵！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
7,【口味】味道挺好的，烤串火候差点，上来就是凉的…辣炒虾爬子好吃！海胆小贵也不算好吃。生蚝得赞??服务热情但是对慕名而来的外地人，海鲜介绍的不清楚…大概是因为客人太多吧…,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
9,"【口味】整体口味还是不错的，但是有点小贵
【环境】环境还是bu?cuo?de
【服务】人比较多，感觉有点顾不过来",Not Mentioned,Neutral,Negative,Positive,Positive
10,真的一般，在地下吃的，一进去一股难闻的气味。点了清蒸梭子蟹，不给任何调料。要姜末说得现切。然后10分钟后螃蟹凉了才上来。价格偏贵。,Not Mentioned,Negative,Negative,Negative,Neutral
11,烧烤味道，虽然海鲜较贵但是胜在新鲜,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
14,除了贵其他都好,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
16,"两个人432，还没吃饱，为什么呢？因为被坑了，海胆和鲍鱼千万别尝试，没什么特色，量少，特别贵，两个海胆就是两小碗鸡蛋138。
但是服务还是很热情，其他菜还可以。",Not Mentioned,Positive,Negative,Not Mentioned,Negative
17,贵，没觉得太好吃，还行，可以尝试,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
18,菜比别的地方贵一半，味道也很一般，外地人打卡居多，本地人感觉不是很多！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
19,太贵了，而且好多海鲜都没价钱标记，不会再去,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
21,主推鲍鱼，49一只，要帮我点2只，我没同意，结果，上菜的时候，在流水单上出现了！点了1个鸡翅中，结果，流水单上没有。生蚝和大虾挺大，味道也可以，牛舌比较好吃，护心肉口感较硬，秋葵鲜贝是酸口的，个人不太喜欢。排队1小时，上菜半小时。都是外地人，据说本地人都不来吃的。这种以“种草”闻名的餐厅还是慎重吧！,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
22,人挺多的，但是菜都很咸，吃不惯。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
26,挺新鲜的，就是价格小贵，没有发票。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
28,东西不错 就是太贵了,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
30,除了椒盐虾爬子以外都很不错，椒盐虾爬子简直太差了，最贵的一个菜结果口味最差，让人太失望了。椒盐味几乎没有，最重要的是炸的火候太差太差了，虾爬子都浸油了，明显是油温不够就下锅了，外壳不酥不脆，虾肉浸油后没有任何鲜味一股喀啦油的味道，用的油应该也是反复炸过很久了，因为一个菜拉低了整体用餐体验，综合打分60分，没有这个菜可以给90分,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
31,生意爆好，因此等的时间有点长，另外海鲜上的较慢。口味可以。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
34,感觉炒作出的网红，感觉一般，性价比不高,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
36,服务态度不好，上菜慢。味道凑合吧。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
37,口味一般，服务很差，还拒绝自带酒水，和海南比起来差远了…,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
38,味道一般 海鲜很肥 东西很贵 没别的了。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
42,我画条的不要吃了。其他还好，价格比较贵了，第二天吃别家差好多价格。服务不咋好。要个东西老费劲了。最后吃完了都没给我拿吸管,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned
43,有些小贵，不过非常好吃,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
45,这家店给我唯一的好印象就是：辣炒皮皮虾很好吃。剩下的印象可以说都不是很愉快。这家美团上的价格和实际价格严重不符！相差太大！还有海胆是苦的！特别苦，一点都不好吃，感觉也没那么新鲜。而且服务员态度很差，我点了个牛舌，但是等了好久好久才来告诉我牛舌卖完了，也是醉了。扇贝味道一般，就是肉大。,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
46,还不错。贵是真贵。味道还不错。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
48,"进门之后就觉得生意真好，产品展示着供客人挑选点菜。作为一个外地人完全是跟着导航来的这里。
【环境】人进到就餐区有点闷，喘不过气来，而且空气里都是油腻腻的味道。
【服务】小哥们都很热情的推荐酒水饮料
【口味】也许是我们吃不习惯吧，感觉还没有前天晚上的苍蝇小馆好吃，水饺也是韭菜的 还那么贵，真不如去喜鼎吃。
最终感觉就是贵 东西不错厨师不行。",Not Mentioned,Positive,Negative,Negative,Neutral
50,有的菜上的比较慢  都吃完了  还没上来,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
52,菜可以。服务态度太差了。瞧不起人似的。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
53,父母聚会经常去，这次我和朋友也去了，前面排队很多，菜品齐全，味道好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
54,海鲜不新鲜，当晚回来就给我吐毁了，以后再也不会去这家店吃了封杀,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
57,美团上写代金券可叠加，不限张数。实际结账就给验证10张，超出不给验券。商家推脱说是美团不给验证。优惠不起就别开美团，要不就写清楚仅限10张。说了做不到，为什么还要挂在网上丢人？,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
61,为了他家的海胆去的 味道新鲜 有时候会卖完呢 其他生吃海鲜也是一样的有品质 价位方面 稍贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
62,太嫩 不适应 偏咸 性价比不高。。。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
63,每次路过人都很多，不管什么季节都要等位置，终于排队吃了一回，感觉没有想象中的好吃，肉口感一般，有点咸，海鲜是特色，但是人多上菜不是特别快，服务员总给推荐很贵的东西，整体感觉偏贵,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
64,除了贵都挺好,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
65,一般吧  就是海鲜新鲜   但是也特别贵  小皮皮虾竟然要100元一斤,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
68,味道可以，海鲜很全，个头够大，除了贵没毛病,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
69,海鲜肥美，很忙，服务员人手不够，价格贵一大一小吃了近500,Not Mentioned,Neutral,Negative,Not Mentioned,Not Mentioned
71,还行吧，有点贵，红红火火恍恍惚惚,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
75,请好兄弟吃点好的，很好吃，有点小贵，但是吃得挺爽～ #烤牛舌# #生吃海胆# #蒜蓉蒸扇贝# #烤护心肉# #生蚝# #烤海肠# #烤鸟贝#,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
76,贵，口味一般，不知道为啥会那么多人去…,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
77,口味不错，确实是贵了点，那个海胆蒸蛋不敢恭维，不如沈阳夜市的好吃 #烤牛舌# #烤大鲍鱼#,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
79,"正黄旗口味排在排行榜我能接受，环境也可以吧，但是服务实在是差劲啊，哎[失望]
都说贵，但是海鲜价钱还可以啊，而且贵也有贵的道理，挺大的，口味也不错，不过烤串价钱挺亲民的。我吃感觉挺好的，不是特别夸张，我能接受。
环境，其实说良心话可以，但是没有分区就有点不好了，建议专门设抽烟区。",Not Mentioned,Negative,Neutral,Positive,Positive
82,服务，不是一般二般的差，那叫一个牛啊，让来个酒叫了好几遍，换了好几个服务员也没来，水撒了，看见了之后那叫一个慢动作回放啊，后来小伙伴说，你把东西给我们，我们自己收拾，还扔脸子，结账慢的要死，喜欢服务能加强，别毁了招牌。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
84,没有想象中那么贵 看评论说服务员态度差很牛 其实态度非常好 两个人的菜价 供参考,Not Mentioned,Neutral,Negative,Not Mentioned,Not Mentioned
85,今年四月来大连吃了一次，那个海肠饺子是99元20个，10月份再来居然涨价169元20个，吓得宝宝没敢吃，话说，海肠是稀缺了吧？海鲜只吃出来贵的味道没吃出来特别之处。下次坚决不去了!,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
87,美团上大连海鲜排名第一，果然，让人失望第一，有以下几点：吃饭排队，大概需要1小时左右，全部让点菜，然后继续排队，等到有桌子了，还继续等；服务员推荐的菜，千万不要点，全是坑，推荐的大鲍烤，说全店第一名，大家看图，烤焦了，并且超市卖5元/个，这里49元/个，请问，是否可以去物价局投诉了，然后店内环境也一般吧，桌子油乎乎，美团人均80多，请问这个是怎么吃出来的，鲍鱼49元，扇贝29元，这两个就79元。所以，毫不性价比，而且味道也一般，真心不推荐大家去，说“黑店”也不过份，请美团认真核实一下，是否达到了大连排名第一的水准，反正吃了很失望，对大连的印象也降分了！！！,Not Mentioned,Negative,Negative,Negative,Negative
89,除了有点小贵哪都好，特别好吃?,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
93,味道挺好的 海鲜都很新鲜 价钱适中 大连旅游城市 这个价钱也是很良心的价格了 菜品看图片吧 门脸一般大 里面的空间不小 多亏看了评论 四点多就来了 没用等位 五点多吃完出来 门口已经很多等位的人了 开车来的真心要早点 这地方停个车真费劲啊 看评论点的菜 都很好吃 看来同志们都是良心推荐啊 没有尝试海胆 肠胃感冒刚好 喝了海胆海带汤 味道很鲜 里面海胆也很多的 #鱼籽肠# #生吃海胆# #烤鲍鱼#,Not Mentioned,Negative,Positive,Neutral,Positive
96,慕名而来，失望而归，实在一般，服务太差,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
97,很一般，人多服务差还不好吃，环境也一般，反正就是一般般,Not Mentioned,Negative,Not Mentioned,Neutral,Neutral
100,下午2点去的，可能人比较多，服务态度不是很好。9个人，外面坐不下，要求坐包房，被告知不可以享受八五折优惠，同时还被要求四点之前必须吃完，挺不满意的，即使晚上有预定，也应该是商量的口气而不是命令的口气。上菜速度很慢，点碗米饭也要20分钟才上的来，菜的味道一般吧，没有那么好，8个人吃烧烤，点了2个炒小海鲜，不喝酒，花700多，感觉一般般吧。,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
104,味道很好，只是服务员好像很忙…想要加菜好几个服务员推来推去都说稍等…,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
107,还可以吧，不错。挺好的，稍微有点贵。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
117,等了有一个小时，排队秩序混乱，有待改进,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
118,就是等的时间太长，而且先点的菜，其他桌都吃完了，我们催了好几次才上，其他都很好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
119,排队的人非常多 菜不错 值得推荐 ,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
132,味道不错，排队人多，价格不算贵，挺好,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
136,略贵，海鲜没有想象中做的好，烧烤还行,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
141,有海鲜有烧烤，味道不错，价格小贵，人均消费100元,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
142,有点贵，可能是因为酒的原因，酒贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
145,海鲜新鲜只是人好多，排队时间长，没有折扣，环境太吵,Not Mentioned,Negative,Negative,Negative,Positive
148,菜品特色，味道也好，价格偏高，等餐有点久,Not Mentioned,Negative,Negative,Not Mentioned,Positive
149,口味真心不错，只不过环境真心是太吵了，服务还有待提升,Not Mentioned,Neutral,Not Mentioned,Negative,Positive
153,感觉很不错，稍微贵一点！但是海鲜很新鲜,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
157,"等位 累 不错 人多 乱
总体还行
",Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
162,海鲜烧烤都挺好，周末人超多得排队。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
167,就是有点贵。还可以。以后有机会还去,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
180,朋友推荐来的，生意超火爆，等了23桌才排上。菜品真是不错，等了那么久  值！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
182,来过好多次啦！味道不错，外面停车位太少，,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
185,可以的，外地人吃还是可以的，就是不好找,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Positive
186,味道很棒，服务不是很满意，总是找不到人,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
187,菜量小，上菜慢，服务员严重不足，态度不好！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
190,价格稍贵一点，味道一般化吧，感觉有点实质不如名气，让我不满意的主要在于烤羊肉串有好几个都给我考糊了点，还有那个扇贝感觉没有清洗干净，有挺多黑色杂质的而且太腥了，从来没吃过这么腥的扇贝,Not Mentioned,Not Mentioned,Negative,Negative,Negative
191,涮毛肚不好吃，放辣椒精了，辣到不行，那个辣椒精和正常辣椒的辣不一样味特别难吃，奔着牛舌去的，牛舌也没有以前好吃，也放辣椒了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
192,除了价格有些贵，其他方面都挺。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
195,还不错！价格还行但也不便宜！OK,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
198,服务一般，等菜时间太长，催好几遍才上。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
200,很好吃哦，海鲜很新鲜，我们特地打车过去吃的，就是有点贵呢！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
201,味道非常好，服务也很不错，就是环境超级吵！！！价钱在同类的里面也是偏贵的，然后说真的，能不在用餐的时候来收盘子么，感觉每次聊着兴头上，就被打断了。。。,Not Mentioned,Positive,Negative,Negative,Positive
207,排队太长，没经验，后来才发现可以电话预约的，菜的口味还是不错的，可惜不是本地人，要不可以经常去,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
214,挺好吃的，位置不怎么好找，人均消费100左右，味道不错，推荐,Negative,Not Mentioned,Neutral,Not Mentioned,Positive
215,价格小贵，没吃啥人均100多了，不过现在也没有什么便宜地方。环境不错，服务很好。,Not Mentioned,Positive,Negative,Positive,Not Mentioned
219,肉串上慢了，估计是上错桌了。楼下女服务员很漂亮，像学生，很不错。总体来说味道不错，性价比也可以、吃到了想吃的海鲜蒸蛋,Not Mentioned,Negative,Positive,Not Mentioned,Positive
222,上菜有点慢，可能是吃饭高峰期的原因，海胆鸡蛋糕好吃，下次尝尝海肠饺子。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
228,啤酒很有特色，价格蛮贵的，海鲜种类也不是太多，总体还算满意！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
232,除了有点小贵  其他都可以   味道还不错 ,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
236,上菜太慢了，各种喊各种叫，累死了！吃个饭叫上菜累死了！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
238,很不错，味道不错，值得推荐，就是环境稍闹，因为人多，包间还好,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Positive
253,方便面要了半个小时都没给上，问服务员催要有个短头发的女的根本理都不理，喊她就像没听见一样，直接无视，态度极其不好，环境也很嘈杂，说话基本靠喊，鱿鱼特别难吃，价格不太实惠。,Not Mentioned,Negative,Negative,Negative,Negative
261,还可以，就是价格不太实惠呀，比较小贵！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
273,菜有点咸，价格不算便宜，挺贵的,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
274,还不错吧。人特别多。服务员像聋子一样。喊半天没反应。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
275,吃的还蛮好的吧。就是价钱还是有点高。海鲜还是值得推荐,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
277,这是我第二次来了 第一次来的时候是别人请客 那个铁板鲫鱼特别好吃 但是等我清别人来吃的时候太没面子了 那个铁板鲫鱼不知在后厨放了多久 都没有滋滋的声音了 而且味道也不入味 太难吃 还有一个凉菜 太咸了 我口味挺重的连我吃都觉得咸 但是没跟服务员提 总之完全没有第一次去的时候印象好,Not Mentioned,Neutral,Not Mentioned,Not Mentioned,Negative
286,口味不错，价格有点贵，但总体感觉不错。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
287,就是服务员太少 个别耳朵也不好使,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
288,首先说口味不错，服务比较差，座位还必须安排，这边打烊了，坐那边，上菜慢，后加的也是特别慢，还有没加上的，着急下班！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
300,人不是特别多，串的味道很好，海胆味道好赞就是感觉好贵啊，有时间还会来吃,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
302,挺好的总去他家吃，海鲜有点贵。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
305,口味还行，就是可能生意太好，人太多，显得乱糟糟的，而且有个左臂刺青的服务员态度特不好，菜上的慢，催了一下，直接让我找领导，什么态度！,Not Mentioned,Negative,Not Mentioned,Negative,Positive
307,很好啊  人特别多  等位置比较难 服务员服务有点差,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
339,挺好吃的，口味嗯很好 价位也很便宜！去了几次挺满意的，就是服务有点差。 挺好吃的，口味嗯很好 价位也很便宜！去了几次挺满意的，就是服务有点差。 挺好吃的，口味嗯很好 价位也很便宜！去了几次挺满意的，就是服务有点差,Not Mentioned,Negative,Positive,Not Mentioned,Positive
345,服务员态度有待提高，不乐意了啊给我多算一箱酒，ca,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
346,简直棒棒哒   就是价位有点贵,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
348,太好吃了。尤其是辣炒皮皮虾。有点微贵，但偶尔吃一次可以。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
349,不错，小贵，鲍鱼好吃，生蚝一般，烤虾不好吃,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
357,还行，挺好，价格也不错，就是停车麻烦。,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
361,味道在大连烧烤届还算是比较好的，就是价格有点贵，其他都好。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
362,口味还不错，价格偏高，关键是美团用户，不给发票，大家就是冲着你有优惠去的，原价开发票，我不会在别的地方吃啊，霸王条款！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
372,烤鱼不错，烧烤一般，有点小贵呀,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
373,味道还好就是可能商家着急了 好好的鱿鱼烤的太过了根本咬不动 其他都还好 点菜的那个女的态度不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
382,包间一进去一股下水道味，建议商家放点空气清新啊！可是跟他家的服务相比这个真的不算什么了。嚯嚯哒。,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
386,海鲜很新鲜，但是价格真的不便宜。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
387,价格偏贵 味道还可以 中规中矩,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
388,味道不错，就是贵了点！环境不错！比较有特点！,Not Mentioned,Not Mentioned,Negative,Positive,Positive
389,上菜有点慢，环境可以   味也行。略贵,Not Mentioned,Negative,Negative,Neutral,Positive
392,海鲜够新鲜，呵呵，烧烤味道好，整体环境不错，就是有点小贵哦,Not Mentioned,Not Mentioned,Negative,Positive,Positive
396,上菜太慢了，吃的断断续续的，不爽！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
404,味道很好，就是人多等的那个焦灼啊。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
417,除了凉菜，其他都挺一般的，价位还高，就是人多,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
422,贵!俩人花了五百多…韭菜盒子还不错,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
427,真心不好吃，他家的特色特别不好吃，服务员还告诉我们剩下的回来了炖豆角，看来你很有经验啊，卢沟虾里面都是空的，五个人花了414太不值了,Not Mentioned,Negative,Negative,Not Mentioned,Negative
428,朋友一直在他家吃，味道还不错，有点儿小贵，但是还是喜欢,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
432,味道还不错，稍微有点儿小贵，但是蛮喜欢的,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
452,客人太多，导致环境有些乱，烟多，有些吵，吃的还不错,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Positive
456,味道不错，然后喝酒的气氛也不错！只不过服务没效率，各种喊不来！,Not Mentioned,Negative,Not Mentioned,Positive,Positive
476,特别火的一家店，门口车太多了，停车费劲，口味和价格都比较好,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
484,口味不错，去了很多次，就是人多，声音嘈杂，大厅太乱！,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Positive
485,大连非常有名的海鲜，环境很好，排队的人超级多。,Not Mentioned,Negative,Not Mentioned,Positive,Not Mentioned
489,味道很好，就是团购不给开发票，太low了,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
491,有点小贵 后来才知道本地人都不来的 不过环境还好 装修很有创意 都是酒瓶子 我和老公一起去的 俩人花了好几百,Not Mentioned,Not Mentioned,Negative,Positive,Not Mentioned
506,就是有点咸～咸～咸～不过可能是我不能吃咸的？,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
517,挺好的，去过好多次了。虽然价位不是很优惠，但是味道喜欢,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
525,这个月来了三次了 ，一如既往，就是服务员态度不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
528,烧烤，海鲜都很棒，高峰期去的上菜速度可以的。唯一让人不太满意的就是，美团券消费的不给开发票，这点挺不合理的,Not Mentioned,Positive,Negative,Not Mentioned,Positive
533,挺好吃的，都来很多次了，虽然价位有点小贵，但是喜欢这里的味道,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
534,结账的时候告诉我酒水特价不能开发票，感觉特别不好，服务员推荐点酒的时候怎么不提前说明呢？,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
535,价位稍微高了点，但是味道一级棒，就是环境，坐楼下了，楼上没地方，楼下环境一般,Not Mentioned,Not Mentioned,Negative,Neutral,Positive
553,味道真的很一般 不知道靠什么这么火的 服务就不说了 排队吃饭的店 大家应该也明白,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
557,没到还不错 价格中上 可以去尝一尝,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
566,上菜太慢了，服务员都很呆。唉。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
597,总体来说不怎么好，口味一般，菜品量太少了！,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
601,排队等了两个小时，要普通啤酒给我们拿来了20块钱一瓶的花旦，螃蟹一股子腥味，海胆蒸蛋味道一般，烤牛舌和生蚝比较好吃，点菜的服务员小哥哥很帅声音也很好听，点菜的时候周围环境比较嘈杂，可以看出来他很用心在倾听顾客的点菜需求,Not Mentioned,Neutral,Neutral,Negative,Neutral
